experiment,dataset,K,category,method,variance,risk,return,number_of_selected_assets,selected_indices,selected_tickers,selected_assets,solve_time,mip_gap,status,original_number_of_assets,number_of_assets_used,reduced_instance,reduction_rule
OR-Library,port3,10,Gurobi Cardinality,cardinality,0.0002068696749415,0.0143829647479779,0.0026614269662921,10,"[1, 19, 24, 29, 40, 45, 55, 61, 74, 82]",,,1.0793938636779783,0.0,2.0,89.0,89.0,False,none
OR-Library,port3,10,No-Sparsity Baseline,no_sparsity,0.0001992801195208,0.014116661061342,0.0026614270499076,36,"[1, 2, 11, 16, 19, 22, 23, 24, 25, 29, 32, 35, 40, 44, 45, 52, 54, 55, 58, 59, 60, 61, 62, 64, 65, 66, 70, 71, 72, 74, 75, 76, 81, 82, 84, 85]",,,0.0059640407562255,,,89.0,89.0,False,none
OR-Library,port3,10,Simulated Annealing,simulated_annealing,0.000243279952056,0.0155974341497583,0.002661427791064,10,"[3, 5, 6, 19, 36, 45, 61, 63, 75, 82]",,,0.948692417005077,,2.0,89.0,89.0,False,none
OR-Library,port3,20,Best Sparse,cardinality,0.0001996971389937,0.0141314238133934,0.0026614269662921,20,"[1, 19, 23, 24, 29, 32, 40, 45, 52, 55, 58, 61, 65, 66, 70, 72, 74, 81, 82, 84]",,,0.1696779727935791,0.0,2.0,89.0,89.0,False,none
OR-Library,port3,20,Genetic Algorithm,genetic_algorithm,0.0002029374251279,0.0142456107320092,0.0026614415392082,20,"[1, 2, 8, 11, 13, 19, 24, 29, 32, 35, 40, 45, 52, 55, 60, 61, 65, 72, 74, 82]",,,13.126722874934783,,2.0,89.0,89.0,False,none
OR-Library,port3,20,Gurobi Cardinality,cardinality,0.0001996971389937,0.0141314238133934,0.0026614269662921,20,"[1, 19, 23, 24, 29, 32, 40, 45, 52, 55, 58, 61, 65, 66, 70, 72, 74, 81, 82, 84]",,,0.1696779727935791,0.0,2.0,89.0,89.0,False,none
OR-Library,port3,20,No-Sparsity Baseline,no_sparsity,0.0001992801195208,0.014116661061342,0.0026614270499076,36,"[1, 2, 11, 16, 19, 22, 23, 24, 25, 29, 32, 35, 40, 44, 45, 52, 54, 55, 58, 59, 60, 61, 62, 64, 65, 66, 70, 71, 72, 74, 75, 76, 81, 82, 84, 85]",,,0.005836009979248,,,89.0,89.0,False,none
OR-Library,port3,20,Simulated Annealing,simulated_annealing,0.0002229384026437,0.0149311219485925,0.0029576406109445,20,"[1, 3, 8, 12, 13, 20, 40, 43, 45, 49, 52, 59, 61, 64, 70, 72, 73, 74, 76, 80]",,,2.6741752499947324,,2.0,89.0,89.0,False,none
OR-Library,port4,5,Best Sparse,cardinality,0.0001890685557586,0.0137502202076429,0.0028731326530612,5,"[18, 44, 61, 63, 85]",,,60.007391929626465,0.0480347769769887,9.0,98.0,98.0,False,none
OR-Library,port4,5,Genetic Algorithm,genetic_algorithm,0.0001941215629652,0.0139327514499184,0.0028731327236438,5,"[10, 18, 44, 61, 95]",,,3.0707977910060436,,2.0,98.0,98.0,False,none
OR-Library,port4,5,Gurobi Cardinality,cardinality,0.0001890685557586,0.0137502202076429,0.0028731326530612,5,"[18, 44, 61, 63, 85]",,,60.007391929626465,0.0480347769769887,9.0,98.0,98.0,False,none
OR-Library,port4,5,No-Sparsity Baseline,no_sparsity,0.000131772454274,0.0114792183651176,0.0028731326572503,39,"[1, 3, 4, 7, 9, 10, 11, 15, 17, 18, 22, 27, 32, 33, 35, 36, 37, 40, 41, 43, 44, 46, 50, 51, 52, 53, 61, 63, 64, 65, 71, 72, 82, 85, 87, 88, 91, 92, 95]",,,0.007275104522705,,,98.0,98.0,False,none
OR-Library,port4,5,Simulated Annealing,simulated_annealing,0.0002433954076384,0.0156011348189303,0.0028753622241137,5,"[8, 44, 64, 81, 95]",,,0.5595518329646438,,2.0,98.0,98.0,False,none
OR-Library,port4,10,Best Sparse,cardinality,0.0001469811543722,0.0121235784474831,0.0028731326530612,10,"[10, 35, 41, 44, 61, 63, 64, 72, 85, 95]",,,26.669458150863647,0.0,2.0,98.0,98.0,False,none
