dataset,K,method,best_variance,average_variance,std_variance,best_risk,average_risk,average_solve_time,best_return,number_of_selected_assets,best_selected_indices,mip_gap,status,elapsed_total_time,remaining_time_when_started,stopped_due_to_time_budget,original_number_of_assets,number_of_assets_used,reduced_instance,reduction_rule
port2,10,simulated_annealing,0.0001982863944825198,0.00020028492244188027,1.4159893992679149e-06,0.014081420186988236,0.014152116927500685,0.9614082916717356,0.0022133918802840842,10,"[0, 1, 2, 3, 11, 12, 16, 18, 20, 23]",,2.0,97.14456820802297,502.855431791977,False,85,30,True,first_30_assets
port2,20,no_sparsity,0.00017648418656778273,0.00017648418656778273,0.0,0.013284735095882896,0.013284735095882896,0.0010790824890136719,0.0023451078627987087,21,"[0, 1, 2, 3, 5, 6, 7, 9, 11, 12, 13, 14, 15, 16, 17, 18, 19, 21, 22, 28, 29]",,,100.03369766601827,499.96630233398173,False,85,30,True,first_30_assets
port2,20,cardinality,0.00017648241986046974,0.00017648241986046974,0.0,0.013284668601830824,0.013284668601830824,0.0037431716918945312,0.0023454177100483745,17,"[0, 1, 2, 3, 5, 7, 9, 11, 12, 14, 15, 17, 18, 19, 21, 28, 29]",0.0,2.0,100.04923991602845,499.95076008397155,False,85,30,True,first_30_assets
port2,20,genetic_algorithm,0.00017648242043774836,0.00017648242159961776,1.6316715135618965e-12,0.013284668623558073,0.013284668667287782,13.487285639314601,0.0023454187106156476,20,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 11, 12, 14, 15, 17, 18, 19, 21, 26, 28, 29]",,2.0,100.06812766601797,499.931872333982,False,85,30,True,first_30_assets
port2,20,simulated_annealing,0.00017650293831510979,0.00017703024925809488,3.786107148875245e-07,0.013285440840074136,0.013305263871623401,2.647111499643264,0.0023409516439256038,20,"[0, 1, 2, 3, 4, 5, 7, 9, 11, 12, 13, 14, 15, 17, 18, 19, 21, 24, 27, 28]",,2.0,140.53937583300285,459.46062416699715,False,85,30,True,first_30_assets
port3,5,no_sparsity,0.0002525422642337543,0.0002525422642337543,0.0,0.015891578405990838,0.015891578405990838,0.0011589527130126953,0.002993966797283784,21,"[1, 2, 6, 8, 9, 10, 11, 13, 14, 15, 16, 17, 19, 20, 21, 22, 23, 24, 25, 27, 29]",,,148.49529512505978,451.5047048749402,False,89,30,True,first_30_assets
port3,5,cardinality,0.00027916540801428176,0.00027916540801428176,0.0,0.016708243714235252,0.016708243714235252,0.05212116241455078,0.002993966666666666,5,"[1, 2, 19, 24, 29]",0.0,2.0,148.51089883304667,451.48910116695333,False,89,30,True,first_30_assets
port3,5,genetic_algorithm,0.0002791654140779516,0.00028475728047609657,5.098620101968639e-06,0.016708243895692677,0.01687407838171101,2.3759090416521453,0.002993967067155107,5,"[1, 2, 19, 24, 29]",,2.0,148.58031358302105,451.41968641697895,False,89,30,True,first_30_assets
port3,5,simulated_annealing,0.0002939621578874711,0.00031753501761387306,1.6676259453238405e-05,0.01714532466556032,0.017813246810561793,0.48385595832951367,0.0029939718617055713,5,"[1, 19, 23, 24, 25]",,2.0,155.71645679103676,444.28354320896324,False,89,30,True,first_30_assets
port3,10,no_sparsity,0.0002525422642337543,0.0002525422642337543,0.0,0.015891578405990838,0.015891578405990838,0.0010900497436523438,0.002993966797283784,21,"[1, 2, 6, 8, 9, 10, 11, 13, 14, 15, 16, 17, 19, 20, 21, 22, 23, 24, 25, 27, 29]",,,157.17421225004364,442.82578774995636,False,89,30,True,first_30_assets
port3,10,cardinality,0.00025309272743457976,0.00025309272743457976,0.0,0.015908888315485144,0.015908888315485144,0.020617008209228516,0.0029939666666666666,10,"[1, 2, 8, 14, 19, 22, 23, 24, 25, 29]",0.0,2.0,157.19047350005712,442.8095264999429,False,89,30,True,first_30_assets
port3,10,genetic_algorithm,0.0002530927282461553,0.0002533401586888625,3.4991948782054945e-07,0.01590888834099213,0.015916659131817907,4.592249875344957,0.0029939667756382756,10,"[1, 2, 8, 14, 19, 22, 23, 24, 25, 29]",,2.0,157.22687775001395,442.77312224998605,False,89,30,True,first_30_assets
port3,10,simulated_annealing,0.00025761558670949646,0.00026619635189894505,6.08404308981877e-06,0.01605040768047642,0.01631445086091597,0.9316814303165302,0.002993967006252572,10,"[1, 2, 4, 10, 19, 23, 24, 25, 27, 29]",,2.0,171.01462558307685,428.98537441692315,False,89,30,True,first_30_assets
port3,20,no_sparsity,0.0002525422642337543,0.0002525422642337543,0.0,0.015891578405990838,0.015891578405990838,0.00109100341796875,0.002993966797283784,21,"[1, 2, 6, 8, 9, 10, 11, 13, 14, 15, 16, 17, 19, 20, 21, 22, 23, 24, 25, 27, 29]",,,173.81527016602922,426.1847298339708,False,89,30,True,first_30_assets
