dataset,K,method,best_variance,average_variance,std_variance,best_risk,average_risk,average_solve_time,best_return,number_of_selected_assets,best_selected_indices,mip_gap,status,elapsed_total_time,remaining_time_when_started,stopped_due_to_time_budget,original_number_of_assets,number_of_assets_used,reduced_instance,reduction_rule
port1,20,genetic_algorithm,0.0006513595775127146,0.0006513595778350826,3.3446378300496826e-13,0.02552174714851463,0.025521747154830188,13.32028161136744,0.003504064518196498,20,"[3, 4, 5, 8, 9, 10, 12, 13, 14, 15, 16, 17, 20, 23, 24, 25, 27, 28, 29, 30]",,2.0,27.028663250035606,572.9713367499644,False,31,31,False,none
port1,20,simulated_annealing,0.000651359578571126,0.0006513595805241358,1.7902285178959824e-12,0.02552174716925011,0.025521747207511793,2.6775684860379747,0.00350406451882869,20,"[0, 4, 6, 8, 10, 12, 14, 15, 16, 17, 19, 22, 23, 24, 25, 26, 27, 28, 29, 30]",,2.0,67.001795707969,532.998204292031,False,31,31,False,none
port2,5,no_sparsity,0.0001368559567414206,0.0001368559567414206,0.0,0.011698545069427248,0.011698545069427248,0.007009983062744141,0.0021021072818690626,28,"[0, 1, 2, 3, 7, 9, 11, 12, 18, 19, 28, 33, 34, 39, 43, 48, 49, 50, 56, 58, 61, 66, 67, 70, 71, 72, 77, 84]",,,75.04748145793565,524.9525185420644,False,85,85,False,none
port2,5,cardinality,0.00018363672454053351,0.00018363672454053351,0.0,0.01355126283932732,0.01355126283932732,1.5498340129852295,0.0016262289885652398,5,"[3, 18, 48, 67, 84]",0.0,2.0,75.13136566604953,524.8686343339505,False,85,85,False,none
port2,5,genetic_algorithm,0.0001857016681074782,0.0001863855055956161,5.377664783703461e-07,0.013627239929915309,0.013652293492853261,2.457861972390674,0.0015654786723126924,5,"[3, 18, 19, 48, 67]",,2.0,76.77276900003199,523.227230999968,False,85,85,False,none
port2,5,simulated_annealing,0.00021889959117679742,0.00022982536463675028,7.879049277104319e-06,0.014795255698256703,0.015157741384159512,0.47987279198908556,0.0027215295594991,5,"[3, 12, 39, 45, 67]",,2.0,84.15381345804781,515.8461865419522,False,85,85,False,none
port2,10,no_sparsity,0.0001368559567414206,0.0001368559567414206,0.0,0.011698545069427248,0.011698545069427248,0.005362987518310547,0.0021021072818690626,28,"[0, 1, 2, 3, 7, 9, 11, 12, 18, 19, 28, 33, 34, 39, 43, 48, 49, 50, 56, 58, 61, 66, 67, 70, 71, 72, 77, 84]",,,85.59782141598407,514.4021785840159,False,85,85,False,none
port2,10,cardinality,0.00014811423245511622,0.00014811423245511622,0.0,0.01217021907999672,0.01217021907999672,0.5214619636535645,0.002143817129006381,10,"[1, 3, 11, 12, 18, 34, 48, 50, 67, 84]",0.0,2.0,85.68136458296794,514.318635417032,False,85,85,False,none
port2,10,genetic_algorithm,0.0001535317823174673,0.00015397055572923763,5.566195381485885e-07,0.012390794256925878,0.012408467000278672,4.746490110992454,0.0018713247856250905,10,"[1, 3, 11, 18, 19, 28, 34, 48, 50, 67]",,2.0,86.2992736659944,513.7007263340056,False,85,85,False,none
port2,10,simulated_annealing,0.00020584648062116177,0.00021582989772496767,7.1671216422720804e-06,0.014347350996653067,0.014689103592638893,0.9721438477281481,0.0014916493547781455,10,"[4, 19, 35, 48, 54, 66, 67, 81, 82, 84]",,2.0,100.54686287499499,499.453137125005,False,85,85,False,none
port2,20,no_sparsity,0.0001368559567414206,0.0001368559567414206,0.0,0.011698545069427248,0.011698545069427248,0.005558013916015625,0.0021021072818690626,28,"[0, 1, 2, 3, 7, 9, 11, 12, 18, 19, 28, 33, 34, 39, 43, 48, 49, 50, 56, 58, 61, 66, 67, 70, 71, 72, 77, 84]",,,103.46827379101887,496.5317262089811,False,85,85,False,none
port2,20,cardinality,0.00013706278186377508,0.00013706278186377508,0.0,0.011707381511840087,0.011707381511840087,0.12114596366882324,0.0020754631128538236,20,"[1, 2, 3, 9, 11, 12, 18, 19, 33, 34, 48, 50, 56, 58, 61, 66, 67, 70, 77, 84]",0.0,2.0,103.55251091602258,496.4474890839774,False,85,85,False,none
port2,20,genetic_algorithm,0.0001393920998631363,0.0001410514109804999,1.2015946511358658e-06,0.011806443150379216,0.011876398685226148,13.513387833333885,0.002257411597418765,20,"[0, 1, 2, 3, 5, 11, 12, 17, 18, 28, 34, 36, 48, 50, 58, 66, 67, 70, 73, 84]",,2.0,103.75910762499552,496.2408923750045,False,85,85,False,none
